# md_1200K_96atom.extxyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     230      96      -568.176      -568.176      1.21566e-06      24.092      24.172      0.0481445      
     231      96      -567.633      -567.649      0.000159832      24.3316      24.3201      0.0441461      
     232      96      -567.606      -567.628      0.000227656      23.5693      23.5186      0.0415696      
     233      96      -567.867      -567.887      0.000209731      22.5561      22.5176      0.0377543      
     234      96      -568.351      -568.367      0.000172739      22.3317      22.3323      0.0373246      
     235      96      -568.589      -568.614      0.000258556      22.2463      22.2491      0.0405744      
     236      96      -568.475      -568.522      0.000489255      22.6684      22.5874      0.0427148      
     237      96      -571.508      -571.518      0.00010793      20.907      20.925      0.0348059      
     238      96      -567.396      -567.46      0.000668254      24.7733      24.6115      0.0453836      
     239      96      -567.586      -567.644      0.000599713      24.3461      24.1972      0.045988      
     240      96      -568.206      -568.249      0.000454994      23.1734      23.0632      0.045379      
     241      96      -569.044      -569.063      0.000189487      21.7543      21.7526      0.0434541      
     242      96      -569.454      -569.451      3.28325e-05      21.364      21.3916      0.0415377      
     243      96      -569.491      -569.479      0.0001209      21.6927      21.7411      0.0414492      
     244      96      -569.473      -569.454      0.000200554      22.2522      22.2821      0.0431083      
     245      96      -571.596      -571.635      0.000411163      20.2312      20.1827      0.0351868      
     246      96      -571.499      -571.521      0.00023457      20.1207      20.1541      0.036154      
     247      96      -570.909      -570.906      3.00132e-05      20.424      20.5094      0.0385087      
     248      96      -570.039      -570.025      0.000148037      21.777      21.8644      0.0395475      
     249      96      -569.531      -569.52      0.000112764      23.2283      23.2644      0.0402202      
     250      96      -569.562      -569.558      4.09217e-05      23.8934      23.8497      0.0395675      
     251      96      -570.061      -570.066      5.43207e-05      23.4461      23.4156      0.0396624      
     252      96      -569.702      -569.731      0.000300371      24.5791      24.5202      0.0416735      
     253      96      -568.963      -569.019      0.000578153      25.3571      25.2318      0.0429887      
     254      96      -568.516      -568.58      0.00066822      24.8718      24.7568      0.0423968      
     255      96      -567.926      -567.996      0.000738572      24.3504      24.2116      0.0430165      
     256      96      -569.386      -569.387      7.80443e-06      22.0143      21.9815      0.0411817      
     257      96      -565.956      -566.025      0.000719176      23.9127      23.7475      0.0456788      
     258      96      -568.443      -568.495      0.000534683      22.8734      22.7803      0.0416115      
     259      96      -569.461      -569.456      6.08318e-05      22.7652      22.7139      0.0407524      
     260      96      -567.352      -567.413      0.000634841      24.8066      24.6287      0.0457687      
     261      96      -567.356      -567.429      0.000759894      24.8959      24.7995      0.0449477      
     262      96      -567.43      -567.491      0.000638302      24.6887      24.613      0.0460319      
     263      96      -568.193      -568.236      0.000449148      22.9318      22.8604      0.0467814      
     264      96      -568.643      -568.663      0.000205817      22.1794      22.1442      0.0479204      
     265      96      -568.731      -568.719      0.000131567      22.6266      22.6737      0.0478083      
     266      96      -573.33      -573.384      0.000570611      20.0102      19.9053      0.0294996      
     267      96      -569.442      -569.431      0.000108744      22.1512      22.2095      0.040961      
     268      96      -570.248      -570.249      1.003e-05      21.0391      21.097      0.0343639      
     269      96      -570.497      -570.505      9.14844e-05      20.8098      20.8429      0.0319105      
     270      96      -570.058      -570.077      0.000188038      22.1292      22.137      0.0329078      
     271      96      -569.275      -569.317      0.000441066      23.8895      23.7832      0.033676      
     272      96      -569.27      -569.315      0.000470262      23.9154      23.7979      0.0338691      
     273      96      -569.941      -569.97      0.000303071      22.9805      22.8904      0.0359035      
     274      96      -571.049      -571.053      4.40243e-05      21.4289      21.4393      0.0376745      
     275      96      -571.549      -571.538      0.00011598      20.5737      20.6285      0.037958      
     276      96      -570.599      -570.588      0.000119218      22.1373      22.1817      0.0420349      
     277      96      -569.185      -569.192      6.90351e-05      24.5788      24.5575      0.0434179      
     278      96      -567.757      -567.792      0.000358658      26.7164      26.6228      0.044035      
     279      96      -567.861      -567.919      0.000604092      26.2775      26.088      0.0438613      
     280      96      -568.694      -568.753      0.000609789      24.9881      24.83      0.043342      
     281      96      -569.888      -569.928      0.000411161      22.9197      22.81      0.0398385      
     282      96      -573.481      -573.516      0.000368395      20.0301      19.9552      0.0307777      
     283      96      -569.411      -569.418      7.11515e-05      22.6212      22.5578      0.0378552      
     284      96      -568.31      -568.314      4.03386e-05      23.2954      23.2674      0.0376943      
     285      96      -567.744      -567.746      1.76931e-05      23.1556      23.1511      0.0371652      
     286      96      -567.467      -567.461      6.72204e-05      22.8665      22.9084      0.037827      
     287      96      -567.881      -567.876      5.86086e-05      22.7399      22.7495      0.0379425      
     288      96      -568.503      -568.502      1.2918e-05      22.1482      22.1669      0.0382231      
     289      96      -569.344      -569.35      5.6363e-05      20.7066      20.7358      0.0406713      
     290      96      -572.965      -572.977      0.000129573      21.0611      21.052      0.0337136      
     291      96      -569.158      -569.16      1.82059e-05      21.8467      21.841      0.0402049      
     292      96      -568.911      -568.902      9.7621e-05      22.7589      22.7535      0.0407615      
     293      96      -569.096      -569.075      0.000214996      22.3979      22.4267      0.0398933      
     294      96      -569.28      -569.248      0.000330027      22.8735      22.9243      0.0436173      
     295      96      -569.173      -569.141      0.000335364      24.8673      24.9078      0.0462019      
     296      96      -570.481      -570.469      0.000117615      22.6125      22.6794      0.0396893      
     297      96      -570.159      -570.167      7.71605e-05      23.1025      23.1491      0.0379533      
     298      96      -569.898      -569.931      0.000348143      23.6268      23.6102      0.035977      
     299      96      -569.901      -569.945      0.000461047      23.3063      23.278      0.0347983      
     300      96      -570.169      -570.21      0.000421846      22.5409      22.5203      0.033201      
     301      96      -570.559      -570.598      0.000406896      21.529      21.5176      0.0333743      
     302      96      -570.504      -570.548      0.000461211      21.0706      21.0437      0.0367783      
     303      96      -569.638      -569.697      0.000619415      22.1976      22.1078      0.0395361      
     304      96      -568.826      -568.881      0.000575381      23.0111      22.9294      0.0414775      
