# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     242      24      -279.378      -279.379      3.94018e-05      0.887706      0.898081      0.00845401      
     243      24      -279.129      -279.124      0.000174305      1.80164      1.80952      0.00537219      
     244      24      -279.888      -279.902      0.000556122      0.0837304      0.00157037      0.00384227      
     245      24      -279.792      -279.793      3.0197e-05      0.802525      0.839261      0.00659942      
     246      24      -279.888      -279.896      0.000321173      0.0836428      0.0106024      0.00388596      
     247      24      -279.202      -279.206      0.000179539      0.0552339      0.00532652      0.00368195      
     248      24      -279.554      -279.556      6.75545e-05      1.45913      1.40563      0.00910142      
     249      24      -279.792      -279.793      3.00607e-05      0.80253      0.839263      0.00658681      
# GSF_112.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     250      30      -345.18      -345.176      0.000145093      1.16331      1.0574      0.0127753      
     251      30      -346.372      -346.362      0.000357889      1.22185      1.22028      0.0101249      
     252      30      -345.792      -345.796      0.00011792      2.00974      2.11286      0.015584      
     253      30      -345.165      -345.165      2.9077e-05      1.77799      1.76583      0.0129589      
     254      30      -346.583      -346.594      0.000335631      0.0921019      0.0114887      0.00530467      
     255      30      -346.41      -346.396      0.000465894      1.00614      0.995468      0.0108535      
     256      30      -345.324      -345.319      0.000148834      1.73735      1.77204      0.014498      
     257      30      -345.59      -345.595      0.000157577      1.4671      1.51601      0.0172036      
     258      30      -345.991      -345.986      0.000179035      1.38867      1.40625      0.0139499      
     259      30      -345.388      -345.384      0.000119429      0.977426      0.963574      0.0140884      
     260      30      -346.583      -346.583      2.93453e-05      0.0924032      0.0126741      0.00529348      
     261      30      -345.451      -345.452      4.06902e-05      2.72302      2.78772      0.0161723      
     262      30      -346.583      -346.594      0.000335641      0.0921097      0.0114883      0.00530503      
     263      30      -345.273      -345.282      0.000311569      1.94173      1.87314      0.0125006      
     264      30      -345.927      -345.929      6.95897e-05      2.01915      2.10087      0.0146939      
     265      30      -345.107      -345.112      0.000145794      3.41113      3.35807      0.0163258      
     266      30      -346.365      -346.367      6.97719e-05      1.32646      1.3358      0.0101674      
     267      30      -346.583      -346.583      2.93275e-05      0.0923538      0.0125474      0.00531613      
     268      30      -344.912      -344.914      5.70003e-05      3.3614      3.44183      0.0163021      
     269      30      -345.845      -345.837      0.000272336      1.62158      1.60877      0.00970531      
     270      30      -344.984      -344.984      2.09079e-06      2.51283      2.54263      0.0140495      
     271      30      -346.398      -346.394      0.000119751      1.20133      1.21168      0.0096044      
# Liquid.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     272      100      -1105.63      -1105.6      0.00030031      31.2213      31.3985      0.152489      
     273      100      -1099.63      -1099.67      0.000405254      31.8283      32.0317      0.146399      
     274      100      -1121.33      -1121.32      0.000109201      20.567      20.8108      0.136864      
# Surface.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     275      24      -279.888      -279.912      0.0009796      0.0836427      0.00275309      0.00367707      
     276      48      -555.36      -555.359      2.46354e-06      0.0539129      0.00302063      0.00170552      
     277      40      -459.215      -459.216      1.68465e-05      5.02548      5.04614      0.00611908      
     278      40      -461.145      -461.144      1.76369e-05      0.0667015      0.00558274      0.00286574      
     279      24      -279.697      -279.635      0.0025613      1.6107      1.2888      0.0131943      
     280      30      -346.583      -346.593      0.000302356      0.0921011      0.0084462      0.00519782      
     281      30      -345.746      -345.745      4.48865e-05      3.11939      3.12496      0.0204267      
# Volume_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     282      8      -66.9909      -66.9907      2.17751e-05      1.18247e-13      0      2.19687e-14      
     283      8      -72.9579      -72.9578      7.77755e-06      3.14581e-13      0      5.40629e-14      
     284      8      -94.1462      -94.1457      5.39872e-05      4.21092e-14      0      6.70652e-15      
     285      8      -94.5541      -94.5547      6.82356e-05      7.04096e-14      0      9.51647e-15      
     286      8      -79.4382      -79.4384      1.70614e-05      3.34741e-13      0      4.30745e-14      
     287      8      -69.6268      -69.6278      0.000128099      6.42227e-14      0      1.00498e-14      
     288      8      -82.6047      -82.6049      2.29897e-05      4.31387e-14      0      6.80599e-15      
     289      8      14.8905      14.8905      2.41842e-08      8.5937e-13      0      1.35867e-13      
     290      8      -94.3679      -94.3676      3.22142e-05      4.77002e-14      0      6.4275e-15      
     291      8      -89.2475      -89.2482      8.76432e-05      6.60063e-14      0      8.3678e-15      
     292      8      -87.2123      -87.212      3.76482e-05      7.41495e-14      0      1.1336e-14      
     293      8      -93.6688      -93.669      2.17762e-05      1.01648e-14      0      1.40511e-15      
     294      8      -7.98917      -7.98917      1.77716e-07      1.24002e-12      0      1.62121e-13      
     295      8      -84.9836      -84.9828      9.67343e-05      9.42138e-15      0      1.49245e-15      
     296      8      -92.5369      -92.5364      6.33335e-05      6.84291e-14      0      1.35144e-14      
     297      8      -26.7761      -26.7761      4.69596e-07      1.56246e-12      0      2.16488e-13      
     298      8      -77.5438      -77.5441      3.62276e-05      3.96937e-14      0      5.51418e-15      
