# Bulk.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      8      -38.6775      -38.7277      0.00627444      1.86715e-14      0      3.43675e-15      
# EOS.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     188      8      -34.8854      -34.8858      5.02222e-05      7.10705e-15      0      1.15578e-15      
     189      8      -34.7987      -34.7996      0.000110761      1.17155e-14      0      2.15744e-15      
     190      8      -34.7116      -34.7131      0.000179783      8.60084e-15      0      1.54376e-15      
     191      8      -34.6241      -34.6261      0.000254137      7.83733e-16      0      1.24173e-16      
     192      8      -34.5361      -34.5388      0.000331836      1.29512e-14      0      2.33096e-15      
     193      8      -34.4478      -34.4511      0.000414647      1.51316e-14      0      2.54142e-15      
     194      8      -34.359      -34.363      0.000503754      1.68648e-14      0      2.77506e-15      
     195      8      -34.2699      -34.2746      0.000596617      1.82222e-14      0      3.22572e-15      
     196      8      -28.3696      -28.3574      0.00152723      4.39842e-16      0      8.1445e-17      
     197      8      -34.1804      -34.1859      0.000692609      4.48795e-15      0      8.23797e-16      
     198      8      -34.0906      -34.0969      0.000792324      1.24673e-14      0      2.26673e-15      
     199      8      -34.0004      -34.0076      0.000894398      1.21785e-14      0      2.06158e-15      
     200      8      -33.9099      -33.9179      0.00100127      1.34152e-14      0      2.26334e-15      
     201      8      -33.8192      -33.828      0.00110753      2.86851e-15      0      4.21646e-16      
     202      8      -33.7282      -33.7379      0.00121587      6.68608e-15      0      9.22466e-16      
     203      8      -33.6369      -33.6474      0.00131115      1.06194e-14      0      1.92439e-15      
     204      8      -33.5454      -33.5566      0.00140421      7.88939e-15      0      1.25049e-15      
     205      8      -33.4536      -33.4656      0.00149681      1.06645e-14      0      1.66155e-15      
     206      8      -33.3617      -33.3744      0.00158239      1.48618e-14      0      2.25226e-15      
     207      8      -27.3846      -27.3727      0.0014854      3.31171e-15      0      6.00271e-16      
     208      8      -33.2696      -33.283      0.00166582      1.54747e-14      0      2.50661e-15      
     209      8      -33.1774      -33.1913      0.00173801      3.60676e-15      0      5.65017e-16      
     210      8      -33.0851      -33.0995      0.00180056      8.37264e-15      0      1.4385e-15      
     211      8      -32.9927      -33.0075      0.00185432      1.0682e-15      0      1.68003e-16      
     212      8      -32.9002      -32.9153      0.00189031      1.01797e-14      0      1.60988e-15      
     213      8      -32.8077      -32.823      0.00191314      7.85672e-15      0      1.33824e-15      
     214      8      -32.7152      -32.7305      0.00191454      2.84233e-15      0      4.53482e-16      
     215      8      -32.6228      -32.6379      0.00189337      6.92709e-15      0      1.01271e-15      
     216      8      -32.5304      -32.5452      0.00184901      5.24001e-15      0      8.48686e-16      
     217      8      -32.4381      -32.4523      0.00177473      5.11074e-15      0      8.20645e-16      
     218      8      -26.4073      -26.4053      0.000244162      5.06211e-16      0      8.83911e-17      
     219      8      -32.3459      -32.3593      0.00167025      6.58754e-16      0      1.1413e-16      
     220      8      -32.2539      -32.2662      0.00153045      9.27088e-15      0      1.54205e-15      
     221      8      -32.1622      -32.173      0.00135708      1.25648e-14      0      1.92909e-15      
     222      8      -32.0706      -32.0798      0.00114323      1.03692e-14      0      1.38632e-15      
     223      8      -31.9793      -31.9864      0.000887456      7.64838e-15      0      1.16575e-15      
     224      8      -31.8883      -31.893      0.000586504      7.63552e-15      0      1.14948e-15      
     225      8      -31.7977      -31.7996      0.000238148      8.67429e-15      0      1.39704e-15      
     226      8      -31.7073      -31.7061      0.00015872      5.72653e-15      0      8.86923e-16      
     227      8      -31.6174      -31.6125      0.000603803      1.16708e-14      0      1.96569e-15      
     228      8      -31.5278      -31.5189      0.00110515      1.21105e-15      0      2.15955e-16      
     229      8      -25.4789      -25.461      0.00224343      6.94254e-15      0      1.4139e-15      
     230      8      -31.4386      -31.4253      0.00165615      9.86113e-15      0      1.36731e-15      
     231      8      -31.3498      -31.3317      0.00226261      6.0889e-15      0      1.01102e-15      
     232      8      -31.2614      -31.238      0.00292386      9.01736e-15      0      1.2558e-15      
     233      8      -31.1735      -31.1444      0.0036394      7.37474e-15      0      1.25232e-15      
     234      8      -31.086      -31.0507      0.00440924      8.51841e-15      0      1.3455e-15      
     235      8      -30.9989      -30.957      0.00523478      9.56477e-15      0      1.61113e-15      
     236      8      -30.9122      -30.8633      0.00611556      7.80536e-16      0      8.96778e-17      
     237      8      -30.8261      -30.7697      0.00704897      6.69411e-15      0      1.00722e-15      
     238      8      -6.87744      -6.89948      0.00275551      8.90885e-14      0      1.76561e-14      
     239      8      -14.4915      -14.4903      0.000155794      1.44273e-14      0      2.25912e-15      
     240      8      -20.5962      -20.5747      0.00269697      1.17143e-14      0      1.87693e-15      
