# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   243    24    -279.083    -279.124    0.00174399    1.72016    1.80952    0.039939    
   244    24    -280.009    -279.902    0.00446322    0.159356    0.00157037    0.00758239    
   245    24    -279.905    -279.793    0.00468086    0.953169    0.839261    0.0213684    
   246    24    -280.009    -279.896    0.00469733    0.160008    0.0106024    0.0076003    
   247    24    -279.078    -279.206    0.00533945    0.286329    0.00532652    0.0183102    
   248    24    -279.615    -279.556    0.00246692    1.77819    1.40563    0.0405555    
   249    24    -279.905    -279.793    0.00468066    0.953147    0.839263    0.0213632    
# GSF_112.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   250    30    -345.131    -345.176    0.0015053    1.49595    1.0574    0.070818    
   251    30    -346.55    -346.362    0.00629027    1.63407    1.22028    0.05716    
   252    30    -345.946    -345.796    0.00500084    2.31334    2.11286    0.0566528    
   253    30    -344.862    -345.165    0.0100789    1.73354    1.76583    0.0580988    
   254    30    -346.774    -346.594    0.00602146    0.719381    0.0114887    0.0479398    
   255    30    -346.565    -346.396    0.0056137    1.58718    0.995468    0.0697235    
   256    30    -345.126    -345.319    0.00643309    2.23876    1.77204    0.0732265    
   257    30    -345.585    -345.595    0.000322995    2.14641    1.51601    0.0791765    
   258    30    -346.076    -345.986    0.00299718    2.13358    1.40625    0.0883813    
   259    30    -345.559    -345.384    0.00583532    1.61442    0.963574    0.0641204    
   260    30    -346.774    -346.583    0.00639058    0.720019    0.0126741    0.0479246    
   261    30    -345.372    -345.452    0.00266387    3.49661    2.78772    0.0823916    
   262    30    -346.774    -346.594    0.00602138    0.719379    0.0114883    0.04794    
   263    30    -345.392    -345.282    0.00365962    2.30206    1.87314    0.0590972    
   264    30    -345.952    -345.929    0.000774503    2.96788    2.10087    0.0878894    
   265    30    -344.869    -345.112    0.00808982    3.48492    3.35807    0.0809893    
   266    30    -346.536    -346.367    0.0056424    1.76907    1.3358    0.0569599    
   267    30    -346.774    -346.583    0.00639269    0.719415    0.0125474    0.0479299    
   268    30    -344.607    -344.914    0.0102041    2.6176    3.44183    0.0858134    
   269    30    -346.034    -345.837    0.00657864    1.90032    1.60877    0.0583012    
   270    30    -344.886    -344.984    0.00327291    2.38834    2.54263    0.0744018    
   271    30    -346.541    -346.394    0.00489342    1.83231    1.21168    0.0689226    
# Liquid.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   272    100    -1105.9    -1105.6    0.00302913    30.921    31.3985    0.407431    
   273    100    -1099.91    -1099.67    0.00240151    33.7575    32.0317    0.461923    
   274    100    -1122.48    -1121.32    0.0116885    20.9852    20.8108    0.345091    
# Surface.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   275    24    -280.009    -279.912    0.00403884    0.160009    0.00275309    0.00780682    
   276    48    -553.823    -555.359    0.0320025    3.30297    0.00302063    0.114131    
   277    40    -458.985    -459.216    0.00577016    3.26958    5.04614    0.0918845    
   278    40    -459.241    -461.144    0.0475849    2.65525    0.00558274    0.114863    
   279    24    -279.947    -279.635    0.0130134    0.968992    1.2888    0.0183592    
   280    30    -346.774    -346.593    0.0060547    0.719382    0.0084462    0.0478123    
   281    30    -346.124    -345.745    0.0126533    2.88651    3.12496    0.0854869    
# Volume_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   282    8    -66.9457    -66.9907    0.00563515    1.22368e-14    0    1.91965e-15    
   283    8    -72.7024    -72.9578    0.0319216    2.62579e-13    0    3.44621e-14    
   284    8    -94.1497    -94.1457    0.00049886    4.93585e-14    0    8.31619e-15    
   285    8    -94.5604    -94.5547    0.000709838    3.0212e-14    0    5.23424e-15    
   286    8    -79.4018    -79.4384    0.00457098    1.88392e-13    0    2.53966e-14    
   287    8    -69.612    -69.6278    0.00197429    1.78914e-14    0    2.82854e-15    
   288    8    -82.6003    -82.6049    0.000581147    2.15621e-14    0    4.00793e-15    
   289    8    14.8553    14.8905    0.00440104    6.77698e-14    0    1.12025e-14    
